Timestamp,icon_profile,icon_link,icon_bluetooth,icon_usb,icon_thermometer,icon_database,icon_message,icon_bookmark,icon_rate,icon_power,icon_setting,icon_share,icon_desktop,age
3/8/2023 2:19:30,Contact,Attachment,Bluetooth,USB,Temperature,Can’t recall,Message ,Bookmark ,Rating,Power,Setting,Share,Desktop,18 - 24
3/8/2023 2:34:19,Contact ,Attachment ,Bluetooth ,USB,Temperature ,Money,Chat / message,Bookmark ,Rating,Power on/off,Settings,Share,Workplace ,25 - 34
3/8/2023 2:42:39,Profile ,Link,Blue tooth ,USB ,Temperature ,Database,Chat,Bookmark ,Star,Shut down,Setting,Share,Pc,25 - 34
3/8/2023 3:43:34,Person,hyperlink,bluetooth,don't know (usb drive?),temperature,storage / hard disk,comment,bookmark,rating,power on / off,setting,don't remember,computer,35 - 44
3/8/2023 4:32:36,New Profile,Link,Bluetooth,USB,Temperature,Money,Chat/Chatting,Bookmark,Rate,Power on/off,Settings,Share,-,18 - 24
3/8/2023 4:33:38,User accounts,Link,Bluetooth,charger,temperature ,idk alexa?,"messaging, text messages",bookmark,"rating scale, star rating",power,settings,"drive, download","computer, desktop",18 - 24
3/8/2023 8:27:47,User,Link,Bluetooth,USB,Temperature,Database,Message,Bookmark,Star,Power on/off,Settings,Share,Computer,18 - 24
3/8/2023 10:40:13,account profile,link,bluetooth,usb,thermometer/temperature ,not sure ,message/typing,bookmark,star/favorite/rating,power button,settings ,settings ,laptop,18 - 24
3/8/2023 11:03:31,User,Link,Bluetooth,Flash Drive,Temperature,database,message,bookmark,favorite ,power,settings,related,computer,45 - 54
3/8/2023 11:34:37,Profile,Link/Attachment ,Bluetooth ,Charging,Temperature ,Stack,Message ,Bookmark ,Starred/Favourited,Power,Settings ,Share ,Computer ,18 - 24
3/8/2023 13:21:44,Profile,Link,Bluetooth,USB ,Temperature ,"Blocks, database",Messages,"Files, saved items",Favorites,Power,Settings,Share,Computer,18 - 24
3/8/2023 15:36:08,Profile ,Link ,Don’t know ,USB ,Don’t know ,Don’t know ,Chat,Save ,Save ,Power,Tool,Link,Don’t know ,25 - 34
3/8/2023 16:42:56,Person,Link,Bluetooth,Usb ,Temperature ,Coins,Messaging ,Bookmark,Favourite,Power,Settings,Network,PC,18 - 24
3/8/2023 18:22:26,account,link,bluetooth,usb,temp,data,chat,bookmark,rating,power,setting,share,desktop,35 - 44
3/8/2023 19:03:36,profile,attach file,bluetooth,usb,temperature,coins ,message,save,favourite,power,settings,share ,computer,18 - 24
3/8/2023 23:36:28,contacts,link,bluetooth,usb,Temperature,Dataset,Messages,Bookmarks,Favorites,Power,settings,share,This pc,18 - 24
3/9/2023 4:19:21,messenger,attachment,bluetooth,usb,thermometer,coins,quote,bookmark,favorite ,power,settings,share,PC,25 - 34
3/9/2023 12:13:36,Profile,Link,Bluetooth ,USB ,Temperature ,Money?,Messaging or texting ,Saved,Rating,Power,Settings,Network?,Computer,25 - 34
3/9/2023 12:23:41,User,Link,Bluetooth,USB,Temperature,Database,Message,Bookmark,Star/Favorite,Power,Settings,Network,Desktop,25 - 34
3/9/2023 12:46:57,Account,Link,Bluetooth,USB,Temperature,Database,Chat,Bookmark,Rating,Power,Settings,Share,Desktop,25 - 34
3/9/2023 12:55:11,person/profile,link,bluetooth,usb thumb drive,temperature/thermostat,server,chat bubble,bookmark,favorite/rating,power,settings,share,desktop,25 - 34
3/9/2023 12:56:48,Profile,Link,Bluetooth,USB,Temp,Data,Chat,Save,Favorite or Star Reviews,Power,Settings,Share,Desktop?,25 - 34
3/9/2023 13:13:06,my profile or account,not sure,bluetooth,usb,temp/thermometer,not sure,chat or typing,bookmark (only know last one),favorites,power on,settings,not sure,computer,35 - 44
3/9/2023 15:11:47,Contact,Link,Bluetooth,Usb,Temperature ,Price,Message,Bookmark,Rating,Power,Settings,Share,Desktop,18 - 24
3/10/2023 0:31:02,Profile,Link,Bluetooth ,Usb,Temperature ,I don’t know ,Chat/conversation ,Bookmark ,Favorite,Power ,Settings,Share/ network ,Desktop ,25 - 34
3/10/2023 20:34:48,,,,,,,,,,,,,,
3/10/2023 20:49:47,person,clip,I don't know,cup,thermometer,pancake,word bubble,book,star,start button,Snowflakes Building Blocks,I don't know,desktop on table,Under 18
3/11/2023 5:46:26,Person,Link,Bluetooth,USB,Temperature ,Money ,Chat,Bookmark,Rating ,Power off/on,Settings,Share,Computer,25 - 34
3/11/2023 7:05:14,Profile ,Link,Bluetooth,Charger ,Temperature ,I don’t know ,Message ,Save,Rating ,Power,Setting ,Share,Computer ,18 - 24
